condition,label,seed,class_id,learning_order,mse
cl_no_replay,"CL, no replay",49,4,5,0.019725041463971138
cl_no_replay,"CL, no replay",49,5,6,0.034187376499176025
cl_no_replay,"CL, no replay",49,6,7,0.0345061719417572
cl_no_replay,"CL, no replay",49,8,8,0.029295051470398903
cl_no_replay,"CL, no replay",49,9,9,0.010776933282613754
cl_no_replay,"CL, no replay",50,1,0,0.010145016014575958
cl_no_replay,"CL, no replay",50,7,1,0.017702611163258553
cl_no_replay,"CL, no replay",50,0,2,0.04269367456436157
cl_no_replay,"CL, no replay",50,2,3,0.038375772535800934
cl_no_replay,"CL, no replay",50,3,4,0.0319007933139801
cl_no_replay,"CL, no replay",50,4,5,0.019715188071131706
cl_no_replay,"CL, no replay",50,5,6,0.03246617317199707
cl_no_replay,"CL, no replay",50,6,7,0.033657874912023544
cl_no_replay,"CL, no replay",50,8,8,0.02841959521174431
cl_no_replay,"CL, no replay",50,9,9,0.011024842970073223
cl_no_replay,"CL, no replay",51,1,0,0.009666034020483494
cl_no_replay,"CL, no replay",51,7,1,0.016117578372359276
cl_no_replay,"CL, no replay",51,0,2,0.0408216193318367
cl_no_replay,"CL, no replay",51,2,3,0.038776811212301254
cl_no_replay,"CL, no replay",51,3,4,0.030488362535834312
cl_no_replay,"CL, no replay",51,4,5,0.019767725840210915
cl_no_replay,"CL, no replay",51,5,6,0.031976744532585144
cl_no_replay,"CL, no replay",51,6,7,0.033487703651189804
cl_no_replay,"CL, no replay",51,8,8,0.027743464335799217
cl_no_replay,"CL, no replay",51,9,9,0.010666681453585625
ndl_dataset_oracle,NDL + original data,42,1,0,0.006659978069365025
ndl_dataset_oracle,NDL + original data,42,7,1,0.017908504232764244
ndl_dataset_oracle,NDL + original data,42,0,2,0.06524471193552017
ndl_dataset_oracle,NDL + original data,42,2,3,0.05977930128574371
ndl_dataset_oracle,NDL + original data,42,3,4,0.06086364760994911
ndl_dataset_oracle,NDL + original data,42,4,5,0.04762239009141922
ndl_dataset_oracle,NDL + original data,42,5,6,0.059733014553785324
ndl_dataset_oracle,NDL + original data,42,6,7,0.07028695195913315
ndl_dataset_oracle,NDL + original data,42,8,8,0.05488411709666252
ndl_dataset_oracle,NDL + original data,42,9,9,0.03810585290193558
ndl_dataset_oracle,NDL + original data,43,1,0,0.006458592601120472
ndl_dataset_oracle,NDL + original data,43,7,1,0.01801195740699768
ndl_dataset_oracle,NDL + original data,43,0,2,0.05880715325474739
ndl_dataset_oracle,NDL + original data,43,2,3,0.05693532153964043
ndl_dataset_oracle,NDL + original data,43,3,4,0.060238003730773926
ndl_dataset_oracle,NDL + original data,43,4,5,0.04666933789849281
ndl_dataset_oracle,NDL + original data,43,5,6,0.06267251074314117
ndl_dataset_oracle,NDL + original data,43,6,7,0.06638740003108978
ndl_dataset_oracle,NDL + original data,43,8,8,0.05745917931199074
ndl_dataset_oracle,NDL + original data,43,9,9,0.038791049271821976
ndl_dataset_oracle,NDL + original data,44,1,0,0.006311291363090277
ndl_dataset_oracle,NDL + original data,44,7,1,0.01753954403102398
ndl_dataset_oracle,NDL + original data,44,0,2,0.0667751356959343
ndl_dataset_oracle,NDL + original data,44,2,3,0.05680878832936287
ndl_dataset_oracle,NDL + original data,44,3,4,0.06384707242250443
